idProduct,idCategory,avg,low,trend,avg1,avg7,avg30
769655,1611,1.9,0.5,0.98,1.9,2.59,3.49
769656,1611,0.1,0.05,0.08,0.1,0.13,0.18
769657,1611,0.19,0.1,0.1,0.24,0.15,0.34
769658,1611,14.99,7.9,8.04,14.99,8.92,5.72
769659,1611,0.29,0.15,0.12,0.67,0.25,0.23
769660,1611,0.59,0.24,0.83,0.5,1.09,0.59
769661,1611,0.19,0.09,0.15,0.19,0.24,0.42
769662,1611,0.35,0.02,0.02,0.35,0.19,0.55
769663,1611,0.78,0.1,0.03,0.13,0.21,0.33
769664,1611,1.43,0.1,0.5,0.31,0.51,0.29
769665,1611,0.17,0.1,0.34,0.4,0.33,0.33
769666,1611,0.25,0.08,0.02,0.25,0.59,0.88
769667,1611,0.49,0.2,0.2,0.49,0.59,1.4
769668,1611,0.1,0.02,0.02,0.1,0.14,0.47
769669,1611,0.2,0.08,0.02,0.2,0.45,1.93
769670,1611,0.49,0.18,0.02,0.49,0.32,0.91
769671,1611,,0.09,0.17,0.4,0.33,0.59
769672,1612,0.87,0.3,0.57,,,
769673,1612,1.95,1.49,1.95,,,
769674,1615,20.7,16.0,18.7,,,
771775,1611,0.12,0.02,0.1,0.15,0.14,0.09
771776,1611,0.05,0.08,0.02,0.7,0.23,0.82
771777,1611,0.1,0.02,0.28,0.02,0.31,0.24
771778,1611,0.1,0.09,0.35,0.32,0.56,0.73
771779,1611,0.21,0.02,0.2,0.1,0.15,0.24
771780,1611,0.49,0.15,0.48,1.3,0.53,0.49
771781,1611,0.02,0.02,0.11,0.2,0.1,0.11
771782,1611,0.3,0.15,0.02,0.3,0.3,1.52
771783,1611,0.05,0.02,0.12,0.09,0.07,0.11
771784,1611,,0.1,0.02,0.5,0.28,1.35
771785,1611,0.13,0.02,0.12,0.14,0.14,0.15
771786,1611,0.1,0.09,0.02,0.25,0.32,0.39
771787,1611,0.09,0.02,0.11,0.05,0.11,0.11
771788,1611,0.1,0.02,0.02,0.8,0.19,0.74
771789,1611,0.14,0.02,0.14,0.1,0.11,0.3
771790,1611,0.02,0.05,0.02,0.02,0.49,1.06
771791,1612,1.92,0.5,1.34,,,
771792,1612,4.2,1.0,3.11,,,
772029,1611,12.0,9.0,11.06,12.0,11.6,11.6
772030,1611,50.0,,50.0,50.0,50.0,50.0
773314,1612,6.5,6.5,6.04,,,
773315,1613,247.49,249.99,237.1,,,
773324,1613,,,1019.2,,,
773884,1611,0.08,0.02,0.08,0.12,0.05,0.07
773885,1611,0.06,0.02,0.11,0.48,0.09,0.07
773886,1611,0.12,0.02,0.08,0.16,0.15,0.1
773887,1611,6.08,3.8,5.18,4.0,5.79,5.94
773888,1611,0.06,0.02,0.07,0.12,0.07,0.08
773889,1611,2.68,0.2,1.57,0.99,2.03,2.02
773890,1611,0.04,0.02,0.07,0.1,0.06,0.11
773891,1611,0.06,0.02,0.05,0.02,0.06,0.05
